#time           flux       flux_err
  275.345500913    -9.95259     1.18310 
  275.365933669    -7.95291     1.18328 
  275.386366326    -8.48441     1.18332 
  275.406799182    -6.64366     1.18371 
  275.427231938    -8.80023     1.18330 
  275.447664594   -11.00722     1.18308 
  275.468097350   -12.68334     1.18282 
  275.488530205   -11.60853     1.18269 
  275.508962861   -10.37683     1.18321 
  275.529395616   -11.35461     1.18304 
  275.549828471   -12.65568     1.18278 
  275.570261225   -10.40822     1.18298 
  275.590693880   -15.35264     1.18245 
  275.611126734   -16.09331     1.18258 
  275.631559488   -16.92114     1.18230 
  275.651992142   -17.24488     1.18234 
  275.672424896   -14.58501     1.18266 
  275.692857749   -16.23196     1.18232 
  275.713290402   -18.86044     1.18198 
  275.733723155   -17.54006     1.18200 
  275.754156008   -18.21110     1.18211 
  275.774588661   -17.78704     1.18223 
  275.795021413   -19.07068     1.18198 
  275.815454165   -20.71870     1.18176 
  275.835887017   -21.71241     1.18155 
  275.856319669   -19.14361     1.18201 
  275.876752421   -21.99781     1.18154 
  275.897185172   -21.10843     1.18168 
  275.917617923   -22.92774     1.18139 
  275.938050574   -24.54125     1.18126 
  275.958483425   -22.55972     1.18156 
  275.978916176   -24.25941     1.18135 
  275.999348826   -27.69713     1.18092 
  276.019781576   -25.29892     1.18124 
  276.040214426   -25.18116     1.18125 
  276.060647176   -25.26459     1.18137 
  276.081079825   -26.26443     1.18127 
  276.101512675   -25.77562     1.18126 
  276.121945424   -26.19274     1.18120 
  276.142378073   -26.96864     1.18116 
  276.162810822   -28.28990     1.18088 
  276.183243670   -27.94882     1.18087 
  276.203676319   -25.91739     1.18114 
  276.224109067   -27.72834     1.18101 
  276.244541915   -24.93311     1.18150 
  276.264974562   -27.44001     1.18097 
  276.285407310   -26.44568     1.18093 
  276.305840057   -25.84073     1.18103 
  276.326272804   -25.75801     1.18112 
  276.346705551   -28.28687     1.18079 
  276.387571044   -28.83455     1.18061 
